Part,Quantity,Price,Total Price(With Shipping),
1uF Capacitor,2,0.1,0.1,
0.1uF Capacitor,11,0.1,0.1,
10uF Capacitor,2,0.1,0.1,
33pF Capacitor,2,0.2,0.2,
USB_C_Receptacle_USB2.0_14P,1,0.3,0.3,
Conn_01x20,2,0.6,0.6,
Conn_01x03,1,0.16,0.16,
5.1K Resistor,2,0.1,0.1,
27 Resistor,2,0.1,0.1,
1K Resistor,2,0.1,0.1,
10K Resistor,1,0.1,0.1,
SW_Push,1,0.11,0.11,
RP2040 Chip,1,0.84,1.3,
MCP1700x-330xxTT,1,0.5,0.5,
W25Q128JVS,1,5.02,5.02,
12MHz Crystal,1,0.39,0.39,
PCB w/ Stencil,1,9.3,23,
Solder Paste,1,2.3,3,
Tweezers,1,1.8,1.8,
Cherry MX Switches,16,15.3,15.3,
1N4148 Diodes,16,0.5,0.5,
Wire,1,0.1,0.1,
Screws,4,0.12,,
Keycaps,15,5.8,7,
Solder Iron and stuff related to that,1,3.2,3.2,
Copper Wire for Matrix,1,0.14,0.14,
3D print of case from printing-legion(Top and Bottom counts as one,1,3,7,
,,,,
,,,,
,,,Total Cost:,Rounded:
,,,70.32,75
