Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,138.52,-109.52,90,top
C2,0.1uF,C_0402_1005Metric,136.22,-107.32,90,top
C3,0.1uF,C_0402_1005Metric,139.46,-120.54,-90,top
C4,0.1uF,C_0402_1005Metric,139.47,-108.95,90,top
C5,0.1uF,C_0402_1005Metric,138.49,-120.54,-90,top
C6,0.1uF,C_0402_1005Metric,138.18,-105.82,90,top
C7,0.1uF,C_0402_1005Metric,137.22,-106.43,90,top
C8,0.1uF,C_0402_1005Metric,131.12,-110.31,180,top
C9,0.1uF,C_0402_1005Metric,130.175,-115.8875,180,top
C10,1uF,C_0402_1005Metric,140.99,-108.84,45,top
C11,0.1uF,C_0402_1005Metric,142.26,-115.49,0,top
C12,0.1uF,C_0402_1005Metric,140.24,-110.43,0,top
C13,10uF,C_0603_1608Metric,132.96875,-94,180,top
C14,10uF,C_0603_1608Metric,133.35,-99.9,180,top
C15,33pF,C_0603_1608Metric,132.55625,-122.2375,-90,top
C16,33pF,C_0603_1608Metric,138.6,-122.96,90,top
C17,0.1uF,C_0402_1005Metric,133.93,-105.21,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,136.128125,-87.728125,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,127.238125,-86.598125,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,145.018125,-86.598125,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,133.588125,-134.618125,90,top
R1,5.1K,R_0402_1005Metric,135.33,-94.2,-90,top
R2,5.1K,R_0402_1005Metric,137.66,-94.2,-90,top
R3,27,R_0402_1005Metric,137.56,-109.52,-90,top
R4,27,R_0402_1005Metric,136.55,-109.51,-90,top
R5,1K,R_0402_1005Metric,136.80875,-119.85625,180,top
R6,1K,R_0402_1005Metric,140.89,-99.87,180,top
R7,10K,R_0402_1005Metric,131.93,-105.17,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,140.85,-95.98,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,136.128125,-114.728125,0,top
U2,MCP1700x-330xxTT,SOT-23,133.35,-96.9875,90,top
U4,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,133,-107,0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,135.73125,-122.2375,180,top
